Store Name	latitude	longitude	_category	Province_Full	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	_blurb
Enviro Plus - Second Chance Workshop	46.0744891	-64.8283164	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 10:00 T: 18:00	F: 09:00 T: 15:00	closed	<p>315 Baig Blvd. Moncton, NB E1E 1E1<br>(506) 853-7722</p>
Ergon Thrift	46.0573275	-64.8164138	Thrift Stores	New Brunswick	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:00	closed	<p>145 Traynor St., Riverview, NB, E1B 3B1<br>506-857-0014</p>
Escompte GT	47.5071728	-67.3913600	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	closed	<p>11 Gallant, Saint-Quentin, NB, E8A 2N5<br>(506) 235-3009</p>
Freddy's New Frenchy's	45.7360659	-65.4933615	Thrift Stores	New Brunswick	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 13:00 T: 17:00	<p>18 Wheeler Rd, Sussex Parish, NB, E4G 2W2<br>(506) 433-8210</p>
Freedom Fashion	47.0401693	-67.7301541	Thrift Stores	New Brunswick	closed	F: 09:30 T: 17:30	F: 09:30 T: 17:30	F: 09:30 T: 21:00	F: 09:30 T: 21:00	F: 09:30 T: 14:00	closed	<p>16260 NB-105, DSL de Drummond, NB, E3Y 2G5<br>(506) 475-9191</p>
Friperie La Deuxième Chance	48.0050418	-66.6745488	Thrift Stores	New Brunswick	closed	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 09:00 T: 16:00	F: 11:00 T: 18:00	closed	<p>88 Roseberry St., Campbellton, NB, E3N 5B8<br>(506) 790-0494</p>
Global Styles	47.0184175	-65.4601912	Thrift Stores	New Brunswick	closed	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 18:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>17 University Ave, Miramichi, NB, E1N 3A8<br>(506) 773-7595</p>
Greater Blackville Resource Centre	46.6215393	-65.8811914	Thrift Stores	New Brunswick	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	closed	<p>12073 NB-8, Upper Blackville, NB, E9B 1Z8<br>(506) 843-9024</p>
Greener Village Unique Boutique	45.9356615	-66.6094702	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 16:00	closed	<p>686 Riverside Dr, Fredericton, NB, E3A 8C2<br>(506) 459-7461</p>
Guy's Frenchy's	46.4671918	-64.7289099	Thrift Stores	New Brunswick	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>119 Irving Blvd, Bouctouche, NB, E4S 3K3<br>(506) 743-8661</p>
Guy's Frenchy's	46.2192690	-64.5653656	Thrift Stores	New Brunswick	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>151 Hanington, Shediac, NB, E4P 1W4<br>(506) 533-8493</p>
Guy's Frenchy's	46.1161215	-64.8383333	Thrift Stores	New Brunswick	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>1567 Mountain  Rd, Moncton, NB, E1G 1A3<br>(506) 860-6219</p>
Guy's Frenchy's	45.8403260	-66.4980850	Thrift Stores	New Brunswick	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>267 Restigouche Rd, Oromocto, NB, E2V 2H1<br>(506) 357-7396</p>
Guy's Frenchy's	45.2595267	-66.0755303	Thrift Stores	New Brunswick	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>109 Ludlow St., Saint John, NB, E2M 1C2<br>(506) 635-8944</p>
Guy's Frenchy's	46.2192690	-64.5653656	Thrift Stores	New Brunswick	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>151 Hanington Ch, Shediac, NB, E4P 1W4<br>(506) 533-8493</p>
Habitat for Humanity	46.1019702	-64.8142145	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>950 Mountain Rd, Moncton, NB, E1C 2S2<br>(506) 384-4664</p>
Habitat for Humanity ReStore	45.9883570	-66.6324288	Thrift Stores	New Brunswick	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	closed	<p>800 St. Mary&#x27;s St., Fredericton, NB, E3G 8S8<br>(506) 462-4881</p>
Habitat for Humanity ReStore	45.3071268	-66.0108927	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	closed	<p>171 McAllister Dr., Saint John, NB E2J 2S6<br>(506) 634-7867</p>
Hospice Boutique Fredericton	45.9543261	-66.6474905	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>525 Dundonald St, Fredericton, NB, E3B 1X5<br>(506) 472-2215</p>
Hospice Miramichi	47.0299324	-65.4689199	Thrift Stores	New Brunswick	F: 9:00 T: 15:30	F: 9:00 T: 15:30	F: 9:00 T: 15:30	F: 9:00 T: 15:30	F: 9:00 T: 12:00	closed	closed	<p>Wentworth Street, Miramichi, NB E1N 3A8<br>506-773-7607</p>
Hospice SENB	46.1057893	-64.7626423	Thrift Stores	New Brunswick	open24hours	open24hours	open24hours	open24hours	open24hours	open24hours	open24hours	<p>156 Pleasant St, Moncton, NB, E1A 2V5<br>(506) 383-2404</p>
Johhn's Used Books & Souvenirs	46.9983689	-65.5665041	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 14:00	closed	<p>71 Jane St, Miramichi, NB, E1V 2S8<br>(506) 622-7914</p>
Lucky 13 Thrift	45.5234914	-65.8298215	Thrift Stores	New Brunswick	closed	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 12:00 T: 16:00	closed	<p>242 Main St., Hampton, NB, E5N 6B8</p>
Matt's Media Outlet	46.0568234	-64.8186997	Thrift Stores	New Brunswick	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	closed	<p>26 Trites Rd, Riverview, NB, E1B 2V6<br>(506) 854-1081</p>
McIntyre's Treasure Trove on the Grove	45.3399542	-65.9764067	Thrift Stores	New Brunswick	F: 08:00 T: 17:00	F: 08:00 T: 17:00	F: 08:00 T: 17:00	F: 08:00 T: 18:00	F: 08:00 T: 18:00	F: 10:00 T: 16:00	closed	<p>1099 Golden Grove Rd, Saint John, NB, E2H 2X1<br>(506) 657-7335</p>
Mission Thrift Store	45.9842472	-66.6654702	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>387 Sunset Dr., Fredericton, NB, E3A 1B3<br>(506) 454-9662</p>
Mission Thrift Store Moncton	46.1122685	-64.7766582	Thrift Stores	New Brunswick	F: 09:30 T: 18:00	F: 09:30 T: 18:00	F: 09:30 T: 18:00	F: 09:30 T: 19:00	F: 09:30 T: 19:00	F: 09:30 T: 19:00	closed	<p>40 Morton Ave., Moncton, NB, E1A 3H9<br>(506) 857-4040</p>
My Closet Consignment	45.9636	-66.6431	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 20:00	F: 10:00 T: 17:00	F: 10:00 T: 16:00	F: 12:00 T: 16:00	<p>280 Main St., Suite 5, Fredericton, NB, E3A 1C9<br>(506) 449-5580</p>
My Consignment Fredericton	45.9312221	-66.6618003	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 18:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 16:00	<p>5 Trinity Ave, Fredericton, NB, E3C 0B7<br>(506) 454-0374</p>
My Consignment Saint John	45.3020963	-66.0265121	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 16:00	<p>11 Fashion Drive, Saint John, NB, E2J 0A7<br>(506) 633-5092</p>
Nerdful Things Moncton	46.1042505	-64.8189453	Thrift Stores	New Brunswick	closed	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 11:30 T: 20:00	F: 11:00 T: 18:00	closed	<p>587a Mountain Rd, Moncton, NB, E1C 6S1<br>(506) 855-1106</p>
Once Upon a Child	45.2848	-66.0842	Thrift Stores	New Brunswick	F: 09:30 T: 20:00	F: 09:30 T: 20:00	F: 09:30 T: 20:00	F: 09:30 T: 20:00	F: 09:30 T: 20:00	F: 09:30 T: 20:00	F: 10:00 T: 18:00	<p>533 Westmoreland Rd, Suite 3, Saint John, NB E2J 2G5<br>(506) 631-0010</p>
Out' Fits	45.3272985	-66.0273278	Thrift Stores	New Brunswick	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 11:00 T: 18:00	<p>15 Fulton Ln, Saint John, NB, E2H 2W4<br>(506) 214-3780</p>
Paula's Picks	45.6097364	-65.7313454	Thrift Stores	New Brunswick	closed	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>441 NB-121, Bloomfield, NB, E5N 4T3<br>(506) 333-8108</p>
Pawn Kings	46.0895932	-64.7904179	Thrift Stores	New Brunswick	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 13:00	closed	<p>74 St. George St, Moncton, NB, E1C 1T3<br>(506) 872-1921</p>
Ready Set Grow! Kids Consignment	46.0619126	-64.8105052	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>621 Coverdale Rd., Riverview, NB, E1B 3K6<br>(506) 388-1777</p>
Sacred Arts	45.9726295	-66.6311520	Thrift Stores	New Brunswick	F: 08:00 T: 18:00	F: 08:00 T: 18:00	F: 08:00 T: 18:00	F: 08:00 T: 18:00	F: 08:00 T: 18:00	F: 08:00 T: 18:00	F: 08:00 T: 18:00	<p>150 Cliffe St, Fredericton, NB, E3A 0A1<br>(506) 459-2924</p>
SDV Vintage Shop	46.0962897	-64.7775537	Thrift Stores	New Brunswick	closed	closed	F: 12:00 T: 17:00	F: 12:00 T: 19:00	F: 12:00 T: 17:00	F: 10:00 T: 16:00	closed	<p>187 Botsford St, Moncton, NB, E1C 4X4</p>
Second Edition	46.0963750	-64.7932868	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 18:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 12:00 T: 16:00	<p>460 Mountain Rd., Moncton, NB, E1C 0K8<br>(506) 855-6300</p>
Second Hand Shop and Pawn Shop	46.1431148	-67.5846779	Thrift Stores	New Brunswick	closed	closed	closed	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 14:00	closed	<p>1061 NB-103, Woodstock, NB, E7M 3C4<br>(506) 328-9754</p>
Second Showing Boutique	45.9444589	-66.6978365	Thrift Stores	New Brunswick	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 16:00	closed	<p>1299 Hanwell Rd., Fredericton, NB, E3C 1A6<br>(506) 458-1305</p>
Seed the Need Thrift Store	45.9773952	-66.6528277	Thrift Stores	New Brunswick	F: 9:00 T: 18:00	F: 9:00 T: 18:00	F: 9:00 T: 18:00	F: 9:00 T: 18:00	F: 9:00 T: 18:00	F: 9:00 T: 18:00	closed	<p>176 Main St., Fredericton, NB, E3A 1C8<br>(506) 260-7617</p>
St. Croix Vocational Centre	45.1936417	-67.2756268	Thrift Stores	New Brunswick	F: 08:00 T: 16:00	F: 08:00 T: 16:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 09:00 T: 16:00	F: 10:00 T: 14:00	closed	<p>50 King St., St. Stephen, NB E3L 2C1<br>(506) 466-4977</p>
The Good Eye Thrift Shop	46.0966038	-64.7927024	Thrift Stores	New Brunswick		closed	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 18:00	F: 11:00 T: 16:00	closed	<p>363 Mountain Rd, Moncton, NB, E1C 2M7</p>
The Hospice Shoppe	45.2537030	-66.0970042	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>78 Catherwood, Saint John, NB, E2M 1X7<br>(506) 649-2762</p>
The Hospice Shoppe	47.0336552	-65.4639218	Thrift Stores	New Brunswick	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>139 Duke St, Miramichi, NB, E1N 1H6<br>(506) 773-3811</p>
The Pink Church Boutique	45.8217679	-64.5933208	Thrift Stores	New Brunswick								<p>3990 NB-114, Hopewell Cape, NB, E4H 3J2</p>
The Salvation Army	47.0002038	-65.5669528	Thrift Stores	New Brunswick	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	closed	<p>231 Pleasant St, Miramichi, NB, E1V 1Y6<br>(506) 622-7826</p>
The Salvation Army	46.1080779	-64.8266160	Thrift Stores	New Brunswick	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>1185 Mountain Rd., Moncton, NB, E1C 2T4<br>(506) 855-8443</p>
The Salvation Army Thrift Store	46.0932299	-64.7607299	Thrift Stores	New Brunswick	F: 08:00 T: 16:30	F: 08:00 T: 16:30	F: 08:00 T: 16:30	F: 08:00 T: 16:30	F: 08:00 T: 16:30	F: 08:00 T: 16:30	F: 08:00 T: 16:30	<p>1127 Rue Champlain, Dieppe, NB, E1A 1P9<br>(905) 825-9208</p>
The Salvation Army Thrift Store	46.0834431	-64.8217605	Thrift Stores	New Brunswick	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	F: 09:00 T: 16:30	closed	F: 09:00 T: 13:30	<p>20 Centennial Dr, Moncton, NB, E1E 4E4<br>(506) 857-2803</p>
The Salvation Army Thrift Store	46.1123476	-64.7748218	Thrift Stores	New Brunswick	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>300 Elmwood Dr., Moncton, NB, E1A 6V2<br>506-859-8305</p>
The Salvation Army Thrift Store	45.8976891	-64.3664862	Thrift Stores	New Brunswick	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	closed	<p>26 Bridge St, Sackville, NB, E4L 3N5<br>(506) 536-2554</p>
The Salvation Army Thrift Store	45.2755365	-66.0772664	Thrift Stores	New Brunswick	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	F: 10:00 T: 19:00	closed	<p>87 Lansdowne Ave, Saint John, NB, E2K 3A1<br>(506) 632-8391</p>
The Salvation Army Thrift Store	45.9763264	-66.6476866	Thrift Stores	New Brunswick	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:05	closed	<p>275 Main St, Fredericton, NB, E3A 1E1<br>(506) 472-5458</p>
The Sussex Sharing Club	45.7211	-65.5085	Thrift Stores	New Brunswick	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	F: 10:00 T: 15:00	closed	closed	<p>26 Eveleigh St., Sussex, NB, E4E 2N8<br>(506) 433-6047</p>
Thrift Store Edmundston	47.3618326	-68.3283181	Thrift Stores	New Brunswick	closed	closed	closed	F: 10:00 T: 16:00	F: 10:00 T: 16:00	F: 10:00 T: 16:00	closed	<p>1 des Veterans Prom, Edmundston, NB, E3V 4E6<br>(506) 735-8712</p>
Thriftking Computer	45.9500785	-66.6888089	Thrift Stores	New Brunswick	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 15:00	closed	<p>1010 Hanwell Rd, Fredericton, NB, E3B 6A4<br>(506) 454-2299</p>
Thrifty's By Bluenotes	45.9413523	-66.6669327	Thrift Stores	New Brunswick	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 20:00	F: 10:00 T: 18:00	F: 12:00 T: 17:00	<p>1150 Prospect St, Fredericton, NB, E1B 3C1<br>(506) 454-4848</p>
Value Village	45.9437260	-66.6778043	Thrift Stores	New Brunswick	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 19:00	<p>371 Bishop Dr., Fredericton, NB, E3C 2M6<br>(506) 455-7676</p>
Value Village	46.1150655	-64.8267355	Thrift Stores	New Brunswick	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 19:00	<p>15 Plaza Blvd, Moncton, NB, E1C 0E8<br>(506) 382-3003</p>
Value Village	45.3105645	-66.0189596	Thrift Stores	New Brunswick	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 19:00	<p>212 McAllister Dr., Saint John, NB, E2L 3S2<br>(506) 696-5301</p>
Vestiaire St-Joseph Inc.	46.2200	-64.5398	Thrift Stores	New Brunswick	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	F: 10:00 T: 18:00	closed	closed	<p>60 Rue du Vestiaire, Shediac, NB, E4P 2W5<br>(506) 532-1147</p>
Village Antiques & More	46.7513	-67.7597	Thrift Stores	New Brunswick	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	<p>1330B Chem. Tobique, Drummond, NB, E3Y 2N7<br>(506) 426-7373</p>
Ametora Supply	45.0798704	-64.4982775	Thrift Stores	Nova Scotia	closed	closed	F: 11:00 T: 17:00	F: 11:00 T: 17:00	F: 12:00 T: 19:00	F: 12:00 T: 19:00	F: 12:00 T: 17:00	<p>13 River St., Kentville, NS, B4N 1G8<br>902 401-4016</p>
Baby Central Consignment	45.0674482	-64.5771944	Thrift Stores	Nova Scotia	closed	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 10:00 T: 16:30	F: 12:00 T: 16:30	F: 10:00 T: 16:30	closed	<p>7106 NS Trunk 1, Coldbrook, NS, B4R 1C1<br>902 679-2229</p>
Consignor's Place	45.0697096	-64.4619706	Thrift Stores	Nova Scotia	F: 09:30 T: 17:30	F: 09:30 T: 17:30	F: 09:30 T: 21:00	F: 09:30 T: 21:00	F: 09:30 T: 21:00	F: 09:30 T: 17:30	F: 09:30 T: 17:30	<p>77 Crescent Dr., New Minas, NS, B4N 3G7<br>902 681-6075</p>
East of Montreal	44.6434021	-63.5788533	Thrift Stores	Nova Scotia	closed	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	F: 10:00 T: 17:00	closed	<p>5657 Spring Garden Rd, Halifax, NS, B3J 3R4<br>902 444-7774</p>
Guy's Frenchy's	44.9768210	-64.9707840	Thrift Stores	Nova Scotia	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 20:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>14384 NS Trunk 1, Wilmot, NS, B0P 1W0<br>902 825-4731</p>
Guy's Frenchy's	44.7575717	-63.6551988	Thrift Stores	Nova Scotia	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 17:00	F: 12:00 T: 17:00	<p>12 Murdock MacKay Ct, Lower Sackville, NS, B4C 3J4<br>902 864-2779</p>
In the Bin Used Clothing	44.9923972	-64.1399646	Thrift Stores	Nova Scotia	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 21:00	F: 09:00 T: 17:00	F: 09:00 T: 17:00	<p>68 Albert St, Windsor, NS, B0N 2T0<br>902 798-4345</p>
