Business Name	First Name	Last Name	Email Address	Website	Phone	Category	Sub Category	street	town	post code	country	lat	lng	Original 'Street Address	on_website	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	blurb	image_file	org_map_name	card_layout		iframe
Griffin Sales & Service Ltd	Jeff	Kickham	griffins@ns.sympatico.ca		902-599-2810	Business	Shops	107 River St	Kentville	NS B4N 1G8	Canada	45.080107	-64.498487	107 River Street    Kentville  NS  B4N 0A3  CA	False	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Griffin Sales & Service Ltd</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 107 River St</i> &nbsp;|&nbsp; 📞 902-599-2810	Griffin_Sales_Service_Ltd.jpg	business-map	image		
igot Skate	Inigo	Cuartaro	igotskate.ktown@gmail.com	https://igotskate.com/	(902) 670-0596	Business	Shops	33 Park St	Kentville	NS B4N 1L9	Canada	45.0777841	-64.5057968	33 Park St, Kentville, NS B4N 1L9	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>igot Skate</b> — Kentville's skate shop, stocking boards, shoes, apparel, and accessories from top brands. A hub for the local skate community and anyone who rides.	igot_Skate.jpg	business-map	image		
Lawtons	Jill	Bricker	jill.seaboyer@hotmail.com			Business	Shops	363 Main St	Kentville	NS B4N 1K7	Canada	45.0773812	-64.4951301	363 Main Street Kentville	False	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Lawtons</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 363 Main St</i> &nbsp;|&nbsp;	Lawtons.jpg	business-map	image		
Lisa's Independent Grocer	Lisa	Lightfoot	llight1@yourindependentgrocer.ca		902-678-3893	Business	Groceries / Pharmacy	451 Main St	Kentville	NS B4N 1K9	Canada	45.0781011	-64.4979753	451 Main Street    Kentville  NS  B4N 1K9  CA	True	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 10:00 T: 18:00	<b>Lisa's Independent Grocer</b> — A community-focused grocery store in Downtown Kentville. Fresh produce, local products, and the personal touch of an independent grocer who cares about quality.	Lisas_Independent_Grocer.jpg	business-map	image		
LIV Fashion Boutique	Liz	Huntley	sandandsea@sandandseadiveshop.ca	https://swimwearhutandlingerie.ca/liv-fashion-boutique/	19023653595	Business	Shops	59 Webster St	Kentville	NS B4N 1H6	Canada	45.078447	-64.495915	59 Webster St, Kentville NS B4N 1H6, Canada	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>LIV Fashion Boutique</b> — Trendy women's fashion and accessories in the heart of Downtown Kentville. Carefully curated collections, unique finds, and a personal shopping experience.	LIV_Fashion_Boutique.jpg	business-map	image		
Loonies & Toonies	Cathy	Walker	J.Dunn08@hotmail.com; walker.cathy05@gmail.com			Business	Shops	27 Aberdeen St	Kentville	NS B4N 2M9	Canada	45.077852	-64.4964083	27 Aberdeen St, Kentville, NS B4N 2M9	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Loonies &amp; Toonies</b> — Kentville's go-to variety and dollar store. Household essentials, party supplies, toys, and everyday items at unbeatable prices.	Loonies_Toonies.jpg	business-map	image		
Mader's Tobacco Store Ltd.	Jeff	Gee	jeffscottgee@gmail.com		902-678-3816	Business	Shops	13 Aberdeen St	Kentville	NS B4N 2M9	Canada	45.07755	-64.49647	13 Aberdeen Street    Kentville  NS  B4N 2M9  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Mader's Tobacco Store</b> — A long-standing Kentville fixture offering tobacco products, accessories, and novelty items. A piece of Main Street history.	Maders_Tobacco_Store_Ltd.jpg	business-map	image		
New Scotland Candle Company	Mark	Beaudry	hello@newscotlandcandles.ca	http://newscotlandcandles.ca	(902) 365-2922	Business	Shops	12 Webster St	Kentville	NS B4N 1H7	Canada	45.0780218	-64.4949059	12 Webster St, Kentville, NS B4N 1H7	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>New Scotland Candle Company</b> — Hand-poured candles inspired by Nova Scotia. Beautifully crafted scents that capture the spirit of the Maritimes. A perfect gift or a treat for yourself.	New_Scotland_Candle_Company.jpg	business-map	image		
NSLC	Adrian (Manager) / Kodi	Guitard/ Hazlett	kodi.hazlett@mynslc.com/ Adrienne.Guitard@mynslc.com	https://www.mynslc.com/stores/store_2546	(902) 678-3858	Business	Groceries / Pharmacy	414 Main St	Kentville	NS B4N 3W4	Canada	45.076639	-64.4967463	414 Main Street    Kentville  Nova Scotia  B4N 1K8  CA	False	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 10:00 T: 21:00	F: 12:00 T: 17:00	<b>NSLC</b> — Serving the daily needs of the Kentville community with a wide selection of products, friendly staff, and convenient hours. Your neighbourhood destination for essentials and more.<br><i>📍 414 Main St</i> &nbsp;|&nbsp; 📞 (902) 678-3858 &nbsp;|&nbsp; 🌐 www.mynslc.com/stores/store_2546	NSLC.jpg	business-map	image		
Occasions Gifts & Décor	Natalee	D'Aubin	lilkiwi70@hotmail.com		902-678-1234	Business	Shops	38 River St	Kentville	NS B4N 1G9	Canada	45.0795221	-64.4965177	38 River Street    Kentville  NS  B4N 1G9  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Occasions Gifts & Décor</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 38 River St</i> &nbsp;|&nbsp; 📞 902-678-1234	Occasions_Gifts_Décor.jpg	business-map	image		
Phinneys Clothing	Andrew	Zebian	info@phinneys.ca	http://www.phinneys.ca	19026784516	Business	Shops	64 Webster St	Kentville	NS B4N 1H7	Canada	45.0780985	-64.4959642	64 Webster St, Kentville NS B4N 1H7, Canada	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Phinneys Clothing</b> — Classic menswear and clothing for the whole family, serving Kentville for generations. Quality brands, personal service, and a tradition of dressing the Valley well.	Phinneys_Clothing.jpg	business-map	image		
Porter's Custom Trophy & Engraving	Jaimie	Peerless	porterstrophy@outlook.ca	http://www.porterstrophies.com	902-678-7009	Business	Shops	7 Aberdeen St	Kentville	NS B4N 2M9	Canada	45.07746	-64.496509	7 Aberdeen Street    Kentville  NS  B4N 2M9  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Porter's Custom Trophy & Engraving</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 7 Aberdeen St</i> &nbsp;|&nbsp; 📞 902-678-7009 &nbsp;|&nbsp; 🌐 www.porterstrophies.com	Porters_Custom_Trophy_Engraving.jpg	business-map	image		
R.D. Chisholm	Mike/ Courtney	Lockhart/Boyd	mike@rdchisholm.ca; courtney@rdchisholm.ca	http://www.rdchisholm.ca	902-678-4634	Business	Shops	25 Webster St	Kentville	NS B4N 0H9	Canada	45.078264	-64.4948921	25 Webster Street    Kentville  NS  B4N 1H4  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>R.D. Chisholm</b> — A Kentville institution and general merchandise store with deep roots in the community. From hardware to housewares, a trusted source for the things you need.	RD_Chisholm.jpg	business-map	image		
Rockwell Home Hardware	Nicole	Atwell	nicolea@rhhbc.ca	http://www.homehardware.com		Business	Shops	414 Main St	Kentville	NS B4N 3W4	Canada	45.076639	-64.4967463	414 Main Street    Kentville  NS  B4N 3W4  CA	False	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Rockwell Home Hardware</b> — Your neighbourhood hardware store with everything for home improvement, repairs, and projects. Helpful staff who know their stuff.	Rockwell_Home_Hardware.jpg	business-map	image		
Silver Horse Florist	Sharon	King	sharon@silverhorseflorist.com	http://www.silverhorseflorist.com	902-678-4728	Business	Shops	373 Main St	Kentville	NS B4N 1K7	Canada	45.0772725	-64.4953276	373 Main Street    Kentville  NS  B4N 1K7  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Silver Horse Florist</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 373 Main St</i> &nbsp;|&nbsp; 📞 902-678-4728 &nbsp;|&nbsp; 🌐 www.silverhorseflorist.com	Silver_Horse_Florist.jpg	business-map	image		
Simply for Life	Kennedy	Sanford	kennedy@simplyforlife.com	http://www.simplyforlife.com/kentville-clinic		Business	Shops	41 Aberdeen St #4	Kentville	NS B4N 2M9	Canada	45.0779639	-64.496391	41 Aberdeen St #4, Kentville, NS B4N 2M9	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Simply for Life</b> — Nutrition coaching, healthy meal plans, and wholesome food products. A personalized approach to healthy eating and lifestyle change, right here in Downtown Kentville.	Simply_for_Life.jpg	business-map	image		
Sugarhouse Ceramics	Brett / Natasha	Bashaw / Lawyer	hello@sugarhouseceramicco.com	https://sugarhouseceramicco.com/en-ca	902-804-9300	Business	Shops	10 Webster St	Kentville	NS B4N 1H7	Canada	45.0779284	-64.4947323	10 Webster St, Kentville, NS B4N 1H7	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Sugarhouse Ceramics</b> — Handcrafted pottery and ceramics made with care in Downtown Kentville. Functional art for your home — mugs, bowls, vases, and more, each one unique.	Sugarhouse_Ceramics.jpg	business-map	image		
The Black Cat Bookstore	Elise	Dunfield	theblackcatbookstore@gmail.com		(902) 678-7373	Business	Shops	373 Main St #2	Kentville	NS B4N 1K7	Canada	45.0772199	-64.49538	373 Main Street  Unit 2  Kentville  NS  B4N 1K7  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>The Black Cat Bookstore</b> — An independent bookshop with character, curating an eclectic selection of new and used books. A cozy haven for readers in the heart of Kentville.	The_Black_Cat_Bookstore.jpg	business-map	image		
Tides Contemporary Art Gallery	Colin	Chase	tidescontemporaryart@gmail.com	https://www.tidescontemporaryartgallery.com/	902-365-3322	Business	Shops	401 Main St	Kentville	NS B4N	Canada	45.0773472	-64.4960829	401-D Main Street, Kentville, Nova Scotia, Canada B4N 2E1	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Tides Contemporary Art Gallery</b> — Showcasing contemporary art by Maritime and Canadian artists. Rotating exhibitions, original works, and prints in a beautiful gallery space on Main Street.	Tides_Contemporary_Art_Gallery.jpg	business-map	image		
Valley Stove and Cycle	Bill	Harvie	Mailbag@valleystoveandcycle.com	http://www.valleystoveandcycle.com	902-542-7280	Business	Shops	353 Main St	Kentville	NS B4N 1K7	Canada	45.0772347	-64.4945984	353 Main Street    Kentville  NS  B4N 1K7  CA	True	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Valley Stove &amp; Cycle</b> — Your source for wood stoves, pellet stoves, and bicycles in the Annapolis Valley. Expert advice, quality brands, and service you can count on.	Valley_Stove_and_Cycle.jpg	business-map	image		
Capital Paper Products Inc.	x	x	capital@capitalpaper.ca	http://www.capitalpaper.ca/	902-678-6767	Business	Specialty Services	27 Calkin Dr	Kentville	NS B4N 3V7	Canada	45.0651908	-64.5479239	27 Calkin Drive    Kentville  NS  B4N 3V7  CA	False	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	F: 9:00 T: 17:00	closed	closed	<b>Capital Paper Products Inc.</b> — Specialized professional services serving Kentville and the Annapolis Valley. Dedicated expertise and personalized attention for your unique needs.<br><i>📍 27 Calkin Dr</i> &nbsp;|&nbsp; 📞 902-678-6767 &nbsp;|&nbsp; 🌐 www.capitalpaper.ca	Capital_Paper_Products_Inc.jpg	business-map	image		
Noel & Co.	Janie & Lauren	Noel	hello@noelandco.ca	https://noelandco.ca/	(902) 698-9005	Business	Shops	42 Southview Ave	Kentville	NS B4N 1W2	Canada	45.0711622	-64.4854185	42 Southview Ave, Kentville, NS B4N 1W2	False	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:30	F: 10:00 T: 17:00	closed	<b>Noel & Co.</b> — A welcoming retail destination in Downtown Kentville offering a curated selection of quality products and friendly, knowledgeable service. Stop by and discover something special on your next visit to Main Street.<br><i>📍 42 Southview Ave</i> &nbsp;|&nbsp; 📞 (902) 698-9005 &nbsp;|&nbsp; 🌐 noelandco.ca	Noel_Co.jpg	business-map	image		
Needs Convience Store	Pardeep	Gumber	ne.0220.kentville@sobeys.com		902-678-9509	Business	Groceries / Pharmacy	252 Main St	Kentville	NS B4N 1J9	Canada	45.0753459	-64.4896654	252 Main Street    Kentville  NS  B4N 1J9  CA	False	F: 6:00 T: 23:00	F: 6:00 T: 23:00	F: 6:00 T: 23:00	F: 6:00 T: 23:00	F: 6:00 T: 23:00	F: 6:00 T: 23:00	F: 7:00 T: 22:00	<b>Needs Convience Store</b> — Serving the daily needs of the Kentville community with a wide selection of products, friendly staff, and convenient hours. Your neighbourhood destination for essentials and more.<br><i>📍 252 Main St</i> &nbsp;|&nbsp; 📞 902-678-9509	Needs_Convience_Store.jpg	business-map	image		
Guardian Centennial Pharmacy	Bill	Evans	wb_evans@hotmail.com			Business	Groceries / Pharmacy	81 Exhibition St	Kentville	NS B4N 1C2	Canada	45.084339	-64.4972889	81 Exhibition St, Kentville, NS B4N 1C2	False	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 10:00 T: 18:00	<b>Guardian Centennial Pharmacy</b> — Serving the daily needs of the Kentville community with a wide selection of products, friendly staff, and convenient hours. Your neighbourhood destination for essentials and more.<br><i>📍 81 Exhibition St</i> &nbsp;|&nbsp;	Guardian_Centennial_Pharmacy.jpg	business-map	image		
Kentville Chrysler Dodge Jeep	Shawn	Carey	scarey@kentvillechrysler.com	http://www.kentvillechryslerdodge.com	902-678-2134	Business	Automotive / Mechanical	800 Park St	Kentville	NS B4N 3X1	Canada	45.0707351	-64.5469201	800 Park Street    Kentville  NS  B4N 3X1  CA	False	F: 8:00 T: 18:00	F: 8:00 T: 18:00	F: 8:00 T: 18:00	F: 8:00 T: 18:00	F: 8:00 T: 18:00	F: 9:00 T: 15:00	closed	<b>Kentville Chrysler Dodge Jeep</b> — Reliable automotive and mechanical services in Kentville. Trusted by the community for quality workmanship, honest advice, and keeping you safely on the road.<br><i>📍 800 Park St</i> &nbsp;|&nbsp; 📞 902-678-2134 &nbsp;|&nbsp; 🌐 www.kentvillechryslerdodge.com	Kentville_Chrysler_Dodge_Jeep.jpg	business-map	image		
Foodland Kentville	Lori	Graham	fl9225mgr@sobeys.com	https://foodland.ca/stores/foodland-kentville/	902-678-3355	Business	Groceries / Pharmacy	311 Bridge St	Kentville	NS B4N 2G4	Canada	45.0861699	-64.4946301	311 Bridge Street Kentville NS B4N 1A9	False	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 8:00 T: 21:00	F: 10:00 T: 18:00	<b>Foodland Kentville</b> — Serving the daily needs of the Kentville community with a wide selection of products, friendly staff, and convenient hours. Your neighbourhood destination for essentials and more.<br><i>📍 311 Bridge St</i> &nbsp;|&nbsp; 📞 902-678-3355 &nbsp;|&nbsp; 🌐 foodland.ca/stores/foodland-kentville	Foodland_Kentville.jpg	business-map	image		
Dayan Sushi	Carlos	Zhnong	dashu137@gmail.com	https://www.dayansushi.com/	902-940-6940	Business	Eateries	381 Main St	Kentville	NS B4N 1K7	Canada	45.0772883	-64.4955574	381A Main Street Kentville, NS. B4N 1K7	True	F: 10:30 T: 19:00	F: 10:30 T: 19:00	F: 10:30 T: 19:00	F: 10:30 T: 19:00	F: 10:30 T: 19:00	F: 10:30 T: 19:00	closed	<b>Dayan Sushi</b> — Authentic Japanese sushi crafted the traditional way in the heart of Downtown Kentville. Fresh rolls, combos, bubble tea, and milk tea. A family-run favourite with outstanding reviews and grab-and-go convenience.<br><i>📍 381 Main St</i> &nbsp;|&nbsp; 📞 902-940-6940 &nbsp;|&nbsp; 🌐 www.dayansushi.com	Dayan_Sushi.jpg	business-map	image		
Kings Arms Pub	Joey	Murphy	kingsarmspub@eastlink.ca	http://www.kingsarmspub.ca		Business	Eateries	390 Main St	Kentville	NS B4N 1K8	Canada	45.0768776	-64.4958877	390 Main St, Kentville, NS B4N 1K8	True	F: 11:00 T: 21:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 23:00	F: 11:00 T: 00:00	F: 11:00 T: 00:00	F: 11:00 T: 21:00	<b>Kings Arms Pub</b> — A beloved British-style pub in a historic keystone building, serving Kentville since 1985. Classic pub fare with a global flair, cold draught beer, and regular live music. Original stained glass windows and a cozy mahogany bar.<br><i>📍 390 Main St</i> &nbsp;|&nbsp; 🌐 www.kingsarmspub.ca	Kings_Arms_Pub.jpg	business-map	image		
Maritime Express Cider	Jimi/ Katie	Doidge/ MacNeil-Mah	info@maritimeexpress.ca	http://www.maritimeexpress.ca	902-681-5105	Business	Eateries	325 Main St	Kentville	NS B4N 1K5	Canada	45.0770761	-64.4932805	325 Main Street Kentville	True	closed	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 22:00	F: 11:00 T: 20:00	<b>Maritime Express Cider Co.</b> — Award-winning cidery and gastropub housed in a stunning 1929 railway hotel. Small-batch ciders from 100% Annapolis Valley apples, cold fermented beneath the stone floors. Chef-driven food menu and a heritage setting like no other.<br><i>📍 325 Main St</i> &nbsp;|&nbsp; 📞 902-681-5105 &nbsp;|&nbsp; 🌐 www.maritimeexpress.ca	Maritime_Express_Cider.jpg	business-map	image		
